long;lat;linea;estacion;escaleras_mecanicas;ascensores
-584.364.285.288.493;-346.182.799.671.446;A;ACOYTE;2;2
-5.845.670.979.752.370;-34.626.666.593.180.200;A;CARABOBO;3;3
-584.218.156.713.706;-346.117.702.291.255;A;CASTRO BARROS;1;1
-58.392.668.824.664.700;-346.092.256.843.174;A;CONGRESO;2;2
-5.838.223.240.101.810;-346.090.998.065.519;A;LIMA;1;0
-58.415.185.708.837.600;-34.610.781.690.450.300;A;LORIA;1;1
-58.374.267.726.430.300;-346.085.590.738.533;A;PERU;2;2
-583.790.851.530.908;-34.608.881.721.215;A;PIEDRAS;1;0
-583.709.684.989.674;-34.608.810.309.168.800;A;PLAZA DE MAYO;0;1
-584.067.071.165.088;-346.098.172.456.706;A;PLAZA MISERERE;6;0
-584.411.776.251.109;-346.204.052.128.589;A;PRIMERA JUNTA;3;2
-58.448.647.654.026.300;-346.235.289.528.893;A;PUAN;3;3
-58.386.777.194.087.200;-346.094.125.865.027;A;SAENZ PEÑA;2;0
-58.463.540.510.628.600;-34.629.087.226.797;A;SAN JOSE DE FLORES;4;3
-584.696.396.292.247;-34.630.707.087.006;A;SAN PEDRITO;3;2
-584.312.738.603.246;-34.602.162.229.342.600;B;ANGEL GALLARDO;1;0
-58.392.314.235.088.700;-34.604.419.542.860.700;B;CALLAO;5;3
-583.931.251.809.727;-34.599.639.552.419;B;CALLAO;5;3
-584.117.625.996.321;-346.040.795.173.475;B;CARLOS GARDEL;4;0
-58.380.714.847.140.800;-346.036.371.051.817;B;CARLOS PELLEGRINI;2;0
-584.475.730.925.312;-345.917.181.536.198;B;DORREGO;1;0
-584.810.135.036.721;-345.777.973.775.423;B;ECHEVERRIA;5;3
-58.455.029.286.281.000;-345.871.978.529.904;B;FEDERICO LACROZE;3;0
-58.375.071.518.263.500;-34.603.297.285.577.500;B;FLORIDA;4;0
-584.863.853.478.891;-34.574.318.914.274.800;B;JUAN MANUEL DE ROSAS;11;6
-58.369.929.850.122.300;-346.029.894.966.332;B;LEANDRO ALEM;2;0
-584.742.408.261.771;-345.812.488.459.579;B;LOS INCAS;4;2
-58.439.771.498.415.400;-345.989.673.641.588;B;MALABIA;1;0
-584.209.624.702.706;-346.031.649.010.973;B;MEDRANO;1;0
-58.399.474.256.679;-34.604.642.967.919.300;B;PASTEUR;4;0
-584.053.994.398.434;-346.045.810.553.512;B;PUEYRREDON;5;0
-5.840.239.534.253.510;-345.944.257.186.285;B;PUEYRREDON;5;0
-584.662.272.046.921;-345.840.946.201.161;B;TRONADOR;4;2
-58.387.296.133.540.700;-346.040.935.531.057;B;URUGUAY;2;3
-583.806.107.179.579;-346.089.833.148.827;C;AVENIDA DE MAYO;3;0
-58.381.434.433.934.200;-346.276.194.522.548;C;CONSTITUCION;2;4
-583.795.299.800.739;-34.604.843.739.913.900;C;DIAGONAL NORTE;4;0
-58.380.173.610.475.200;-346.181.255.992.933;C;INDEPENDENCIA;2;0
-5.838.153.494.171.220;-346.179.373.939.772;C;INDEPENDENCIA;2;0
-583.781.557.828.244;-34.601.769.923.011.300;C;LAVALLE;4;0
-5.838.044.446.966;-346.126.172.798.037;C;MORENO;2;0
-583.740.182.164.816;-345.911.938.083.332;C;RETIRO;2;0
-583.766.323.328.018;-345.919.013.602.604;C;RETIRO;2;0
-583.799.211.788.651;-346.219.167.322.081;C;SAN JUAN;2;0
-583.778.190.509.867;-345.950.574.047.792;C;SAN MARTIN;3;0
-583.805.743.428.896;-346.042.452.029.629;D;9 DE JULIO;2;0
-5.840.716.132.018.980;-345.916.278.437.199;D;AGÜERO;3;0
-58.411.293.901.393.600;-345.882.371.084.182;D;BULNES;1;0
-58.392.314.235.088.700;-34.604.419.542.860.700;D;CALLAO;1;1
-583.931.251.809.727;-34.599.639.552.419;D;CALLAO;1;1
-58.435.013.533.733.700;-345.751.783.641.113;D;CARRANZA;8;0
-583.739.558.069.511;-346.078.023.364.289;D;CATEDRAL;1;1
-58.462.378.408.224.200;-345.556.417.664.261;D;CONGRESO DE TUCUMAN;6;2
-58.397.923.755.573.300;-345.997.570.807.639;D;FACULTAD DE MEDICINA;3;2
-584.521.256.033.889;-345.662.152.421.589;D;JOSE HERNANDEZ;5;0
-58.456.489.134.589.000;-345.623.090.869.974;D;JURAMENTO;6;3
-5.844.466.814.833.480;-345.700.123.078.257;D;OLLEROS;4;0
-584.257.114.411.123;-345.784.220.227.904;D;PALERMO;3;0
-584.211.960.101.264;-34.581.411.193.604.400;D;PLAZA ITALIA;5;0
-584.053.994.398.434;-346.045.810.553.512;D;PUEYRREDON;3;0
-5.840.239.534.253.510;-345.944.257.186.285;D;PUEYRREDON;3;0
-58.385.142.358.801.200;-346.015.871.651.394;D;TRIBUNALES;5;1
-584.267.890.228.972;-34.627.015.467.002;E;AVENIDA LA PLATA;2;0
-58.377.580.886.540.600;-346.128.491.058.186;E;BELGRANO;3;0
-584.155.328.189.678;-346.253.661.058.926;E;BOEDO;1;0
-583.736.842.241.685;-346.092.424.288.608;E;BOLIVAR;5;0
-583.717.721.700.668;-34.596.657.340.233;E;CATALINAS;6;2
-583.704.042.434.692;-346.033.293.842.467;E;CORREO CENTRAL;9;4
-58.442.170.705.965.200;-346.310.418.421.655;E;EMILIO MITRE;1;0
-583.915.116.999.715;-346.227.196.661.278;E;ENTRE RIOS;2;0
-58.380.173.610.475.200;-346.181.255.992.933;E;INDEPENDENCIA;3;0
-5.838.153.494.171.220;-346.179.373.939.772;E;INDEPENDENCIA;3;0
-58.433.816.250.239.400;-346.280.175.487.742;E;JOSE MARIA MORENO;2;0
-584.029.365.802.561;-346.238.657.115.835;E;JUJUY;2;0
-584.502.782.563.709;-346.363.891.893.858;E;MEDALLA MILAGROSA;2;0
-583.970.680.746.626;-346.231.098.657.791;E;PICHINCHA;2;0
-583.740.182.164.816;-345.911.938.083.332;E;RETIRO;10;3
-583.766.323.328.018;-345.919.013.602.604;E;RETIRO;10;3
-5.838.514.854.962.370;-346.223.394.919.367;E;SAN JOSE;2;0
-58.409.390.783.443.600;-346.246.537.864.662;E;URQUIZA;2;0
-58.457.891.755.773.100;-34.640.137.352.298.000;E;VARELA;1;0
-583.989.275.853.601;-34.635.750.180.342.900;H;CASEROS;4;3
-58.403.721.496.438.700;-345.984.551.117.734;H;CORDOBA;6;3
-584.054.503.284.842;-346.044.902.016.081;H;CORRIENTES;10;6
-583.913.254.737.854;-345.834.397.237.767;H;FACULTAD DE DERECHO;2;3
-584.123.851.512.005;-346.412.689.433.909;H;HOSPITALES;3;3
-58.402.322.730.424.000;-346.230.923.205.019;H;HUMBERTO 1°;5;4
-58.400.969.556.016.500;-346.293.756.575.728;H;INCLAN;4;3
-583.972.155.751.019;-345.874.615.464.262;H;LAS HERAS;6;4
-5.840.603.638.103.520;-346.089.352.416.215;H;ONCE;10;3
-584.057.948.259.686;-346.384.059.882.851;H;PARQUE PATRICIOS;4;3
-58.402.376.175.034.800;-345.945.253.962.188;H;SANTA FE;9;7
-58.404.731.716.490.000;-346.152.421.522.706;H;VENEZUELA;4;3
